servidor;timestamp;cpu_porcentagem;cpu_ociosa_porcentagem;cpu_usuarios_porcentagem;cpu_sistema_porcentagem;cpu_loadavg;ram_porcentagem;ram_mb;ram_gb;ram_disp_porcentagem;ram_disp_mb;ram_disp_gb;ram_swap_porcentagem;ram_swap_mb;ram_swap_gb;disco_porcentagem;disco_mb;disco_gb;disco_livre_porcentagem;disco_livre_mb;disco_livre_gb;disco_throughput_mbs;disco_throughput_gbs
henry;16/10/2025 20:47;3.8;96.2;1.5;2.3;(0.0, 0.0, 0.0);42.2;10344.8;10.1;57.83;14183.81;13.85;12.8;196.0;0.19;54.7;249931.6;244.07;45.31;207060.4;202.21;0.27;0.0
henry;16/10/2025 20:48;14.2;85.8;0.8;13.4;(0.0, 0.0, 0.0);42.2;10361.39;10.12;57.76;14167.22;13.84;12.8;196.0;0.19;54.7;249932.24;244.07;45.31;207059.76;202.21;2.65;0.0
henry;16/10/2025 20:48;0.8;99.2;0.8;0.0;(0.0, 0.0, 0.0);42.3;10369.71;10.13;57.72;14158.91;13.83;12.8;196.0;0.19;54.7;249932.35;244.07;45.31;207059.65;202.21;0.0;0.0
henry;16/10/2025 20:48;8.6;91.4;1.6;7.0;(0.0, 0.0, 0.0);42.2;10355.45;10.11;57.78;14173.17;13.84;12.8;196.0;0.19;54.7;249932.61;244.07;45.31;207059.39;202.21;0.03;0.0
henry;16/10/2025 20:48;14.8;85.2;6.2;8.6;(0.0, 0.0, 0.0);42.2;10359.71;10.12;57.76;14168.9;13.84;12.8;196.0;0.19;54.7;249932.8;244.08;45.31;207059.2;202.21;0.0;0.0
henry;16/10/2025 20:48;4.6;95.4;3.8;0.8;(0.0, 0.0, 0.0);42.2;10347.88;10.11;57.81;14180.73;13.85;12.8;196.0;0.19;54.7;249932.98;244.08;45.31;207059.02;202.21;0.04;0.0
henry;16/10/2025 20:48;0.8;99.2;0.0;0.8;(0.0, 0.0, 0.0);42.2;10338.89;10.1;57.85;14189.72;13.86;12.8;196.0;0.19;54.7;249933.16;244.08;45.31;207058.84;202.21;0.0;0.0
henry;16/10/2025 20:48;1.6;98.4;0.8;0.8;(0.0, 0.0, 0.0);42.1;10337.91;10.1;57.85;14190.7;13.86;12.8;196.0;0.19;54.7;249933.27;244.08;45.31;207058.72;202.21;0.0;0.0
henry;16/10/2025 20:48;3.1;96.9;0.8;1.6;(0.0, 0.0, 0.0);42.3;10367.2;10.12;57.73;14161.42;13.83;12.8;196.0;0.19;54.7;249933.45;244.08;45.31;207058.54;202.21;0.02;0.0
henry;16/10/2025 20:48;1.6;98.4;0.8;0.8;(0.0, 0.0, 0.0);42.2;10356.19;10.11;57.78;14172.43;13.84;12.8;196.0;0.19;54.7;249933.63;244.08;45.31;207058.37;202.21;0.77;0.0
