macadress;timestamp;cpu_porcentagem;cpu_ociosa_porcentagem;cpu_usuarios_porcentagem;cpu_sistema_porcentagem;cpu_loadavg;cpu_freq_atual_mhz;cpu_freq_min_mhz;cpu_freq_max_mhz;ram_porcentagem;ram_mb;ram_gb;ram_disp_porcentagem;ram_disp_mb;ram_disp_gb;ram_swap_porcentagem;ram_swap_mb;ram_swap_gb;disco_porcentagem;disco_mb;disco_gb;disco_livre_porcentagem;disco_livre_mb;disco_livre_gb;disco_throughput_mbs;disco_throughput_gbs;rede_enviados_mb_;rede_recebidos_mb;temperatura_cpu
34:60:f9:55:51:71;2025-11-29 10:56:47;36.8;63.2;18.4;16.1;(1.9892578125, 2.95556640625, 2.97314453125);3354.33;1109.83;4386.47;87.7;6284.68;6.14;12.31;882.12;0.86;100.0;2047.66;2.0;41.9;94963.11;92.74;55.12;131612.95;128.53;0.25;0.0;306.37224864959717;34.93096733093262;48.98
34:60:f9:55:51:71;2025-11-29 11:23:20;37.5;62.5;25.1;9.5;(2.77197265625, 1.95751953125, 2.0234375);3257.62;1109.83;4386.47;86.6;6206.91;6.06;13.39;959.88;0.94;99.1;2029.95;1.98;42.0;95154.45;92.92;55.04;131421.61;128.34;33.59;0.03;55.60157012939453;4.241938591003418;56.43
34:60:f9:55:51:71;2025-11-29 11:23:32;35.4;64.6;27.3;7.4;(4.3994140625, 2.3369140625, 2.146484375);4117.97;1109.83;4386.47;85.1;6100.98;5.96;14.87;1065.81;1.04;99.9;2046.82;2.0;42.0;95155.54;92.93;55.04;131420.52;128.34;11.67;0.01;57.73331642150879;5.321393013000488;61.04
34:60:f9:55:51:71;2025-11-29 11:23:44;34.8;65.2;27.8;6.7;(5.4072265625, 2.66357421875, 2.2568359375);4213.17;1109.83;4386.47;86.4;6193.19;6.05;13.58;973.6;0.95;100.0;2047.82;2.0;42.0;95155.6;92.93;55.04;131420.46;128.34;24.4;0.02;58.68825054168701;5.471280097961426;55.43
10-68-38-9B-8A-08;2025-11-29 22:17:48;37.7;62.3;5.7;31.3;(0.0, 0.0, 0.0);2801.0;0.0;2801.0;92.9;6889.9;6.73;7.06;523.35;0.51;23.3;2373.29;2.32;82.3;200493.96;195.79;17.72;43175.04;42.16;0.26;0.0;2082.7274560928345;94384.93697452545;49.07
10-68-38-9B-8A-08;2025-11-29 22:18:06;31.4;68.6;6.5;24.2;(0.0, 0.0, 0.0);2801.0;0.0;2801.0;93.4;6926.39;6.76;6.57;486.85;0.48;23.3;2371.39;2.32;82.3;200494.25;195.8;17.72;43174.75;42.16;4.15;0.0;2082.7573747634888;94384.99741744995;58.42
10-68-38-9B-8A-08;2025-11-29 22:18:24;23.6;76.4;3.4;19.8;(0.0, 0.0, 0.0);2801.0;0.0;2801.0;93.1;6902.54;6.74;6.89;510.71;0.5;22.0;2243.51;2.19;82.3;200494.19;195.8;17.72;43174.81;42.16;9.48;0.01;2082.76971244812;94385.01795864105;54.75
10-68-38-9B-8A-08;2025-11-29 22:18:47;24.4;75.6;4.5;19.5;(0.0, 0.0, 0.0);2801.0;0.0;2801.0;92.8;6877.55;6.72;7.23;535.7;0.52;22.0;2242.88;2.19;82.3;200494.57;195.8;17.72;43174.43;42.16;0.49;0.0;2082.8072242736816;94385.09625339508;55.37
10-68-38-9B-8A-08;2025-11-29 22:19:08;25.1;74.9;6.2;18.3;(0.0, 0.0, 0.0);2801.0;0.0;2801.0;93.3;6919.34;6.76;6.66;493.9;0.48;22.0;2241.94;2.19;82.3;200494.79;195.8;17.72;43174.21;42.16;0.45;0.0;2082.8201580047607;94385.13675022125;52.21
10-68-38-9B-8A-08;2025-11-29 22:19:23;21.4;78.6;5.9;14.8;(0.0, 0.0, 0.0);2801.0;0.0;2801.0;93.6;6939.12;6.78;6.4;474.12;0.46;22.0;2240.39;2.19;82.3;200490.2;195.79;17.72;43178.8;42.17;0.91;0.0;2082.8795433044434;94385.26654338837;53.53
10-68-38-9B-8A-08;2025-11-29 22:19:37;19.2;80.8;4.2;14.3;(0.0, 0.0, 0.0);2801.0;0.0;2801.0;93.2;6908.41;6.75;6.81;504.84;0.49;21.9;2235.15;2.18;82.3;200490.17;195.79;17.72;43178.82;42.17;6.83;0.01;2082.8885345458984;94385.28137302399;53.92
