timestamp;identificacao_container;cpu_container;throughput_container;ram_container;throttled_time_container;tps_container
2025-11-29 10:56:47;mc-server-1;100.37;55.62;72.04;0.0;20.0
2025-11-29 10:56:47;mc-server-2;0.21;0.0;70.01;0.0;20.0
2025-11-29 10:56:47;mc-server-3;0.19;0.0;76.24;0.0;20.0
2025-11-29 11:23:20;mc-server-1;35.99;21.3;39.09;0.0;20.0
2025-11-29 11:23:20;mc-server-2;33.19;0.08;31.12;0.0;20.0
2025-11-29 11:23:20;mc-server-3;43.23;1.08;10.93;0.0;20.0
2025-11-29 11:23:32;mc-server-1;36.23;0.48;27.94;0.0;20.0
2025-11-29 11:23:32;mc-server-2;37.85;0.0;18.16;0.0;20.0
2025-11-29 11:23:32;mc-server-3;36.33;0.66;27.63;0.0;20.0
2025-11-29 11:23:44;mc-server-1;35.35;3.4;35.62;0.0;20.0
2025-11-29 11:23:44;mc-server-2;33.8;2.9;28.24;0.0;20.0
2025-11-29 11:23:44;mc-server-3;35.17;3.33;49.67;0.0;20.0
2025-11-29 22:17:48;mc-server-1;99.35;0.02;94.0;0.0;20.0
2025-11-29 22:17:48;mc-server-2;27.08;0.08;99.49;0.0;20.0
2025-11-29 22:17:48;mc-server-3;0.37;0.0;99.57;0.0;8.09
2025-11-29 22:18:06;mc-server-1;99.65;0.08;94.7;0.0;20.0
2025-11-29 22:18:06;mc-server-2;0.34;0.0;98.57;0.0;20.0
2025-11-29 22:18:06;mc-server-3;0.35;0.0;89.07;0.0;20.0
2025-11-29 22:18:24;mc-server-1;99.79;0.0;94.86;0.0;20.0
2025-11-29 22:18:24;mc-server-2;49.97;0.0;98.7;0.0;20.0
2025-11-29 22:18:24;mc-server-3;13.08;0.04;89.26;0.0;20.0
2025-11-29 22:18:47;mc-server-1;3.87;0.01;94.8;0.0;20.0
2025-11-29 22:18:47;mc-server-2;2.93;0.0;98.8;0.0;20.0
2025-11-29 22:18:47;mc-server-3;99.55;0.01;89.39;0.0;20.0
2025-11-29 22:19:08;mc-server-1;0.38;0.0;94.95;0.0;20.0
2025-11-29 22:19:08;mc-server-2;0.4;0.0;98.81;0.0;20.0
2025-11-29 22:19:08;mc-server-3;0.48;0.0;89.39;0.0;20.0
2025-11-29 22:19:23;mc-server-1;4.32;0.13;88.32;0.0;20.0
2025-11-29 22:19:23;mc-server-2;0.45;0.0;98.86;0.0;20.0
2025-11-29 22:19:23;mc-server-3;0.41;0.0;89.86;0.0;20.0
2025-11-29 22:19:37;mc-server-1;0.6;0.0;99.67;0.0;20.0
2025-11-29 22:19:37;mc-server-2;0.5;0.0;98.92;0.0;20.0
2025-11-29 22:19:37;mc-server-3;2.03;0.0;90.47;0.0;20.0
2025-11-29 22:19:52;mc-server-1;0.54;0.0;88.41;0.0;20.0
2025-11-29 22:19:52;mc-server-2;0.54;0.0;98.97;0.0;20.0
2025-11-29 22:19:52;mc-server-3;0.5;0.0;90.89;0.0;20.0
2025-11-29 22:20:07;mc-server-1;0.53;0.0;88.67;0.0;20.0
2025-11-29 22:20:07;mc-server-2;0.37;0.0;99.06;0.0;20.0
2025-11-29 22:20:07;mc-server-3;0.49;0.0;90.98;0.0;20.0
2025-11-29 22:20:36;mc-server-1;0.4;0.0;99.5;0.0;20.0
2025-11-29 22:20:36;mc-server-2;0.44;0.0;99.11;0.0;20.0
2025-11-29 22:20:36;mc-server-3;99.36;0.0;91.2;0.0;20.0
2025-11-29 22:20:54;mc-server-1;0.37;0.0;88.98;0.0;20.0
2025-11-29 22:20:54;mc-server-2;0.35;0.0;88.91;0.0;20.0
2025-11-29 22:20:54;mc-server-3;99.45;0.34;91.28;0.0;20.0
2025-11-29 22:21:14;mc-server-1;0.33;0.0;99.47;0.0;20.0
2025-11-29 22:21:14;mc-server-2;4.39;0.27;88.44;0.0;20.0
2025-11-29 22:21:14;mc-server-3;0.47;0.0;91.19;0.0;20.0
2025-11-29 22:21:36;mc-server-1;0.5;0.0;89.04;0.0;20.0
2025-11-29 22:21:36;mc-server-2;99.28;0.0;88.56;0.0;20.0
2025-11-29 22:21:36;mc-server-3;0.32;0.0;91.22;0.0;20.0
2025-11-29 22:21:57;mc-server-1;0.42;0.42;89.41;0.0;20.0
2025-11-29 22:21:57;mc-server-2;0.54;0.0;88.58;0.0;20.0
2025-11-29 22:21:57;mc-server-3;0.38;0.0;91.35;0.0;20.0
2025-11-29 22:22:13;mc-server-1;4.02;0.07;89.45;0.0;20.0
2025-11-29 22:22:13;mc-server-2;0.51;0.0;88.68;0.0;20.0
2025-11-29 22:22:13;mc-server-3;0.47;0.0;91.45;0.0;20.0
2025-11-29 22:22:26;mc-server-1;4.12;0.05;89.5;0.0;20.0
2025-11-29 22:22:26;mc-server-2;0.6;0.55;88.32;0.0;20.0
2025-11-29 22:22:26;mc-server-3;0.48;0.0;91.54;0.0;20.0
2025-11-29 22:22:37;mc-server-1;0.48;0.0;89.52;0.0;20.0
2025-11-29 22:22:37;mc-server-2;0.47;0.0;88.4;0.0;20.0
2025-11-29 22:22:37;mc-server-3;0.45;0.02;91.59;0.0;20.0
2025-11-29 22:22:50;mc-server-1;26.0;0.0;87.65;0.0;20.0
2025-11-29 22:22:50;mc-server-2;99.37;0.0;88.47;0.0;20.0
2025-11-29 22:22:50;mc-server-3;0.32;0.0;91.61;0.0;20.0
